id,author_id,created_at,text,lang,source,retweet_count,reply_count,like_count,quote_count,hashtags,mentions,urls,possibly_sensitive,conversation_id,reply_settings,context_entities,referenced_tweets,total_reply,total_engage,text_clean,tmpid,Effectiveness_of_GLP1_Agonists,Personal_Experiences_and_Side_Effects,Perceptions_of_Weight_Loss,Food_Industry_Perceptions,Addiction_and_Cravings,Weight_Loss_Journey,Marketing_and_Product_Ideas,Mood_and_Energy,Scientific_Information,Societal_Issues,author_username,author_name,author_description,author_location,author_profile_image,author_protected,author_verified,author_created_at,author_url,author_followers_count,author_following_count,author_tweet_count,author_listed_count
1943747117333336270,356495526,2025-07-11 19:00:00+00:00,"Zepbound (tirzepatide) and Wegovy (semaglutide) are injectable medications for weight loss. Both work on your appetite, hunger, and food cravings, but they achieve this effect in different ways. Learn more: https://t.co/j9Qqw2pCnA",en,,0,0,1,0,[],[],['https://goodrx.co/4kC4Akp'],False,1943747117333336270,everyone,[],[],0.0,1.0,Zepbound (tirzepatide) and Wegovy (semaglutide) are injectable medications for weight loss. Both work on your appetite hunger and food cravings but they achieve this effect in different ways. Learn more,1,True,False,False,False,False,False,False,False,False,False,GoodRx,GoodRx,"Your home for prescription savings + information from the trusted doctors, pharmacists, and journalists of GoodRx Health.
Share your #GoodRx story","Santa Monica, CA",https://pbs.twimg.com/profile_images/1455245365569998849/6I9ECChg_normal.jpg,False,False,2011-08-16 23:09:45+00:00,https://t.co/LDgHiyzqOI,13377.0,1251.0,15230.0,139.0
1943743424563167260,1105515026503421952,2025-07-11 18:45:20+00:00,"Goes to LA and gets on ozempic. It’s so over for the association 
Skinny Luka on the lakers wins 3 chips before he retires @TheyAlreadyKnew https://t.co/gCFlfvm4RV",en,,0,0,0,0,[],['TheyAlreadyKnew'],['https://twitter.com/ludwigahgren/status/1943697791676739808'],False,1943743424563167260,everyone,"['NBA Basketball', 'Los Angeles Lakers', 'NBA', 'Sports & Fitness Business', 'Los Angeles Lakers', 'NBA', 'Basketball', 'Sports', 'Basketball', 'Basketball', 'Sports']",[<ReferencedTweet id=1943697791676739808 type=quoted>],0.0,0.0,Goes to LA and gets on ozempic. Its so over for the association Skinny Luka on the lakers wins 3 chips before he retires @TheyAlreadyKnew,2,False,False,False,False,False,False,False,False,False,False,vikings129,vikings129,Generational Hater™️| Reformed wigger,,https://pbs.twimg.com/profile_images/1450308722723545089/pCYo85Z2_normal.jpg,False,False,2019-03-12 17:04:56+00:00,,178.0,505.0,5631.0,3.0
1943725026160660892,1941462918542786560,2025-07-11 17:32:13+00:00,"Cravings down. Confidence up.
Oh My Meds offers GLP-1 treatments like Tirzepatide and Semaglutide, prescribed online.
Feel better. Eat smarter.
💻 https://t.co/mgcz7kDQ4m
#ohmymedsrx #glp #weightloss #semaglutide #tirzepatide https://t.co/YNKryZMCc9",en,,0,0,0,0,"['ohmymedsrx', 'glp', 'weightloss', 'semaglutide', 'tirzepatide']",[],"['http://join.ohmymeds.com', 'https://x.com/ohmymedsrx/status/1943725026160660892/video/1']",False,1943725026160660892,everyone,"['Sports & Fitness Business', 'Fitness']",[],0.0,0.0,Cravings down. Confidence up. Oh My Meds offers GLP-1 treatments like Tirzepatide and Semaglutide prescribed online. Feel better. Eat smarter.,3,True,False,False,False,False,False,False,False,False,False,ohmymedsrx,OhMyMeds,Low Cost Medication Delivered Nationwide.,"Orlando, Florida",https://pbs.twimg.com/profile_images/1941619577349152769/Qj_syj9u_normal.jpg,False,False,2025-07-05 11:44:34+00:00,,0.0,1.0,20.0,0.0
1943682944037490933,1183757070757220352,2025-07-11 14:45:00+00:00,"Prader-Willi syndrome—a rare genetic disorder marked by insatiable hunger—shows that obesity isn’t one disease, but a spectrum. This breakthrough is a reminder that personalized treatment matters. Learn more @ConscienHealth: https://t.co/amgwwPnCP8",en,,3,0,4,0,[],['ConscienHealth'],['https://conscienhealth.org/2025/06/prader-willi-reminds-us-glp-1-is-not-the-whole-story-of-obesity/'],False,1943682944037490933,everyone,[],[],0.0,7.0,Prader-Willi syndrome—a rare genetic disorder marked by insatiable hunger—shows that obesity isnt one disease but a spectrum. This breakthrough is a reminder that personalized treatment matters. Learn more @ConscienHealth,4,False,False,False,False,False,False,False,False,False,True,ObesityAdvocacy,Obesity Care Advocacy Network,OCAN is a diverse group of organizations that have come together to change how we perceive and approach obesity in the US. Obesity is a complex chronic disease.,"Washington, DC",https://pbs.twimg.com/profile_images/1899837093158821889/azfmvsTH_normal.jpg,False,False,2019-10-14 14:53:58+00:00,https://t.co/HtLDw5sqrp,952.0,241.0,2103.0,8.0
1943682457993200126,1573280302327373827,2025-07-11 14:43:04+00:00,"Ngl I’ve been binging so much bcz my grandmas trying to get me into modeling, and i need to lose at least half of what i am now . Which idefk bcz I don’t have scale til tmr 😒 . Besides All that bullshit. Idfk she’s literally trying to get me on ozempic . https://t.co/8Puy52D5SJ",en,,0,0,0,0,[],[],['https://x.com/Mut4lat3dmUs3/status/1943682457993200126/photo/1'],False,1943682457993200126,everyone,[],[],0.0,0.0,Ngl Ive been binging so much bcz my grandmas trying to get me into modeling and i need to lose at least half of what i am now . Which idefk bcz I dont have scale til tmr . Besides All that bullshit. Idfk shes literally trying to get me on ozempic .,5,False,False,False,False,False,False,False,False,False,False,Mut4lat3dmUs3,𝐴𝑏𝑏𝑖𝑒 ₍^. .^₎⟆ ᔆʰᵉᵈᵗʷᵗ,᧔࿔᧓ 𝑇ℎ𝑒 𝑊𝑜𝑟𝑙𝑑 𝐼𝑠 𝑆𝑜 𝑈𝑛𝑓𝑎𝑖𝑟 𝐼 𝐻𝑎𝑣𝑒 𝑇𝑜 𝐷𝑖𝑒,"Bulimic, BED . She/her",https://pbs.twimg.com/profile_images/1940898400691425280/MMH3byo7_normal.jpg,False,False,2022-09-23 11:57:23+00:00,,224.0,244.0,6240.0,4.0
1943666723271344242,1551960015862382593,2025-07-11 13:40:33+00:00,"Can really understand how Ozempic et al work by turning of your ""food thoughts"". I only get ""food thoughts"" when I'm not distracted. Like waiting for a van, with the snack machine whispering to me. 

Snacksssss. Crispsssss. Chocolotolate...",en,,0,0,0,0,[],[],[],False,1943666723271344242,everyone,"['Automotive, Aircraft & Boat Business']",[],0.0,0.0,Can really understand how Ozempic et al work by turning of your food thoughts. I only get food thoughts when Im not distracted. Like waiting for a van with the snack machine whispering to me. Snacksssss. Crispsssss. Chocolotolate.,6,True,False,False,False,False,False,False,False,False,False,4thWaveStevie,Steve Chambers,Workflow automation with app building and generative AI. Also a commercial driver in a bib.,"Leeds, UK",https://pbs.twimg.com/profile_images/1933824062783885312/fYGMipzn_normal.jpg,False,False,2022-07-26 15:58:03+00:00,https://t.co/M8rU5TBMrk,1544.0,1738.0,29914.0,8.0
1943642119513534583,18820955,2025-07-11 12:02:47+00:00,"Day 54 on the weight loss injection Mounjaro:  

Feeling hungry. Pretty sure that’s not meant to happen on this drug! Would up the dose to 5mg but it costs £30 extra and apparently the side effects can be worse.

Total loss: 9.2kg

Start weight: 84.8kg  

Today’s weight: 75.6kg https://t.co/0wMMVMSATz",en,,0,1,12,0,[],[],['https://x.com/ArianeSherine/status/1943642119513534583/photo/1'],False,1943642119513534583,everyone,[],[],1.0,13.0,Day 54 on the weight loss injection Mounjaro  Feeling hungry. Pretty sure thats not meant to happen on this drug! Would up the dose to 5mg but it costs £30 extra and apparently the side effects can be worse. Total loss  9.2kg Start weight  84.8kg Todays weight  75.6kg,7,True,False,False,False,False,False,False,False,False,False,ArianeSherine,Ariane Sherine,"Writer, journalist, author, photographer. Pop star as @arianexmusic. Debut solo electropop album BETTER out now on Bandcamp. Lucky girlfriend of @adamjuniper.","London, UK",https://pbs.twimg.com/profile_images/1865308041698070528/eQbqbXmH_normal.jpg,False,False,2009-01-10 00:03:37+00:00,https://t.co/c84Xo9IJT2,9849.0,2423.0,52165.0,372.0
1943637397813526553,702092653,2025-07-11 11:44:01+00:00,Day 2 on mounjaro feeling good just very tired. Not feeling particularly hungry and food noise is low. No other side effects at the moment. #weightlossjourney #weightlossinjection,en,,0,0,1,0,"['weightlossjourney', 'weightlossinjection']",[],[],False,1943637397813526553,everyone,[],[],0.0,1.0,Day 2 on mounjaro feeling good just very tired. Not feeling particularly hungry and food noise is low. No other side effects at the moment.,8,True,False,False,False,False,False,False,False,False,False,newt_kiters,Newt,"Not rich not famous but trying!
#teamginger","Liverpool, England",https://pbs.twimg.com/profile_images/1916530560811311104/Tc3C1UZj_normal.jpg,False,False,2012-07-18 01:06:19+00:00,,975.0,367.0,27647.0,2.0
1943633649842204912,2885363901,2025-07-11 11:29:07+00:00,GLP-1 and the rise of mood foods: A new appetite for functional indulgence https://t.co/g5ipcdFHnX,en,,0,0,0,0,[],[],['https://www.bakeryandsnacks.com/Article/2025/07/10/how-glp-1-drugs-are-reshaping-snacks-indulgence-and-mood-foods/'],False,1943633649842204912,everyone,[],[],0.0,0.0,GLP-1 and the rise of mood foods  A new appetite for functional indulgence,9,False,False,False,True,False,False,False,True,False,False,HyslopGill,Gill Hyslop,Editor at https://t.co/jAOuxqK4cY. Wordaholic and food fanatic. I really couldn't have a better job!,"Ayr, Scotland",https://pbs.twimg.com/profile_images/796032977486680070/7gBlfuw4_normal.jpg,False,False,2014-11-20 08:02:03+00:00,https://t.co/n3LTyI73Ht,191.0,194.0,3100.0,6.0
1943630213348290837,1706691658379558912,2025-07-11 11:15:28+00:00,The new snack wrap chicken taste like if a fat bitch took ozempic,en,,0,0,0,0,[],[],[],False,1943630213348290837,everyone,[],[],0.0,0.0,The new snack wrap chicken taste like if a fat bitch took ozempic,10,False,False,False,False,False,False,False,False,False,False,sexborger,Lgbtsexburger,I can feel pain in my dih 💔💔💔💔💔,Mars,https://pbs.twimg.com/profile_images/1935184239961464832/UKTJvqId_normal.jpg,False,False,2023-09-26 15:26:39+00:00,https://t.co/SKeD9CzLzu,215.0,655.0,7952.0,1.0
