author_name_x,possibly_sensitive_x,referenced_tweets_x,mentions_x,id,author_verified_x,author_username_x,author_profile_image_x,author_id_x,conversation_id_x,retweet_count_x,created_at_x,tmpid_x,reply_count_x,text_x,like_count_x,quote_count_x,urls_x,reply_settings_x,text_clean_x,lang_x,author_followers_x,hashtags_x,source_x,context_entities_x,Effectiveness_of_GLP1_Agonists,Personal_Experiences_and_Side_Effects,Perceptions_of_Weight_Loss,Food_Industry_Perceptions,Addiction_and_Cravings,Weight_Loss_Journey,Marketing_and_Product_Ideas,Mood_and_Energy,Scientific_Information,Societal_Issues,author_name_y,possibly_sensitive_y,referenced_tweets_y,mentions_y,author_verified_y,author_username_y,author_profile_image_y,author_id_y,conversation_id_y,retweet_count_y,created_at_y,tmpid_y,reply_count_y,text_y,like_count_y,quote_count_y,urls_y,reply_settings_y,text_clean_y,lang_y,author_followers_y,hashtags_y,source_y,context_entities_y
londondaily.news,False,[],[],1945931053438238835,False,LDNdailynews,https://pbs.twimg.com/profile_images/1461692936257687557/VVQF2_fx_normal.jpg,1215311525495349248,1945931053438238835,0,2025-07-17 19:38:11+00:00,1,0,Managing cravings on Wegovy: Practical tips for UK users  https://t.co/pEJTjeLDwg #news #london #londonnews,0,0,['https://buff.ly/uiea29J'],everyone,Managing cravings on Wegovy  Practical tips for UK users,en,947,"['news', 'london', 'londonnews']",,"['UK national news', 'News', 'UK national news', 'London']",True,False,False,False,True,False,False,False,False,False,londondaily.news,False,[],[],False,LDNdailynews,https://pbs.twimg.com/profile_images/1461692936257687557/VVQF2_fx_normal.jpg,1215311525495349248,1945931053438238835,0,2025-07-17 19:38:11+00:00,1,0,Managing cravings on Wegovy: Practical tips for UK users  https://t.co/pEJTjeLDwg #news #london #londonnews,0,0,['https://buff.ly/uiea29J'],everyone,Managing cravings on Wegovy  Practical tips for UK users,en,947,"['news', 'london', 'londonnews']",,"['UK national news', 'News', 'UK national news', 'London']"
ro,False,[<ReferencedTweet id=1944827586443407697 type=quoted>],[],1945922327721689501,False,hyitsrosie,https://pbs.twimg.com/profile_images/1725981629858951168/GmtHayaE_normal.jpg,1193736207051694082,1945922327721689501,0,2025-07-17 19:03:31+00:00,2,0,Selena Gomez popping Ozempic like candy to be skinny for her wedding will always be funny. This btch hates being fat almost as much as her fans do. LMAO https://t.co/lXDheEZYtI,0,0,['https://twitter.com/PopCrave/status/1944827586443407697'],everyone,Selena Gomez popping Ozempic like candy to be skinny for her wedding will always be funny. This btch hates being fat almost as much as her fans do. LMAO,en,146,[],,"['Selena Gomez', 'Entertainment & Leisure Business', 'Selena Gomez', 'Pop', 'Selena Gomez', 'Society', 'Weddings', 'Selena Gomez', 'Pop', 'Music', 'Weddings', 'Celebrities', 'Family']",False,False,False,False,False,False,False,False,False,False,ro,False,[<ReferencedTweet id=1944827586443407697 type=quoted>],[],False,hyitsrosie,https://pbs.twimg.com/profile_images/1725981629858951168/GmtHayaE_normal.jpg,1193736207051694082,1945922327721689501,0,2025-07-17 19:03:31+00:00,2,0,Selena Gomez popping Ozempic like candy to be skinny for her wedding will always be funny. This btch hates being fat almost as much as her fans do. LMAO https://t.co/lXDheEZYtI,0,0,['https://twitter.com/PopCrave/status/1944827586443407697'],everyone,Selena Gomez popping Ozempic like candy to be skinny for her wedding will always be funny. This btch hates being fat almost as much as her fans do. LMAO,en,146,[],,"['Selena Gomez', 'Entertainment & Leisure Business', 'Selena Gomez', 'Pop', 'Selena Gomez', 'Society', 'Weddings', 'Selena Gomez', 'Pop', 'Music', 'Weddings', 'Celebrities', 'Family']"
Newt,False,[],[],1945910995009814556,False,newt_kiters,https://pbs.twimg.com/profile_images/1916530560811311104/Tc3C1UZj_normal.jpg,702092653,1945910995009814556,0,2025-07-17 18:18:29+00:00,3,0,Mounjaro is in full effect had my dinner a low in fat microwave meal for one and I'm stuffed I feel like Mr Creosote! Going to have to go for half the meal next time. I didn't even feel that hungry kind of forced it down myself for energy not complaining mind #weightossinjection,0,0,[],everyone,Mounjaro is in full effect had my dinner a low in fat microwave meal for one and Im stuffed I feel like Mr Creosote! Going to have to go for half the meal next time. I didnt even feel that hungry kind of forced it down myself for energy not complaining mind,en,979,['weightossinjection'],,"['Food & Beverage Business', 'Food', 'Meals', 'Food experience']",False,False,False,False,False,False,False,False,False,False,Newt,False,[],[],False,newt_kiters,https://pbs.twimg.com/profile_images/1916530560811311104/Tc3C1UZj_normal.jpg,702092653,1945910995009814556,0,2025-07-17 18:18:29+00:00,3,0,Mounjaro is in full effect had my dinner a low in fat microwave meal for one and I'm stuffed I feel like Mr Creosote! Going to have to go for half the meal next time. I didn't even feel that hungry kind of forced it down myself for energy not complaining mind #weightossinjection,0,0,[],everyone,Mounjaro is in full effect had my dinner a low in fat microwave meal for one and Im stuffed I feel like Mr Creosote! Going to have to go for half the meal next time. I didnt even feel that hungry kind of forced it down myself for energy not complaining mind,en,979,['weightossinjection'],,"['Food & Beverage Business', 'Food', 'Meals', 'Food experience']"
luxury on Amazon,False,[],[],1945906521914724654,False,luxuryamznfinds,https://pbs.twimg.com/profile_images/1836371332369432576/3GYsVG31_normal.jpg,1828200738863919104,1945906521914724654,0,2025-07-17 18:00:42+00:00,4,0,"GLP-1 Supplement for Women and Men | Hunger &amp; Metabolism Support - Expert Formulated to Support GLP1 Naturally | Probiotic and Prebiotic (60 Capsules)

$29.99

https://t.co/A4454Jzv2I",0,0,['https://amzn.to/4lUcCpK'],everyone,GLP-1 Supplement for Women and Men | Hunger & Metabolism Support - Expert Formulated to Support GLP1 Naturally | Probiotic and Prebiotic (60 Capsules) $29.99,en,2,[],,[],False,False,False,False,False,False,False,False,False,False,luxury on Amazon,False,[],[],False,luxuryamznfinds,https://pbs.twimg.com/profile_images/1836371332369432576/3GYsVG31_normal.jpg,1828200738863919104,1945906521914724654,0,2025-07-17 18:00:42+00:00,4,0,"GLP-1 Supplement for Women and Men | Hunger &amp; Metabolism Support - Expert Formulated to Support GLP1 Naturally | Probiotic and Prebiotic (60 Capsules)

$29.99

https://t.co/A4454Jzv2I",0,0,['https://amzn.to/4lUcCpK'],everyone,GLP-1 Supplement for Women and Men | Hunger & Metabolism Support - Expert Formulated to Support GLP1 Naturally | Probiotic and Prebiotic (60 Capsules) $29.99,en,2,[],,[]
sasha ୧ ‧₊˚ 🖤 ⋅ || edtwt,False,[],[],1945898205780017550,False,densuii_,https://pbs.twimg.com/profile_images/1945499437356199936/tgXztJAG_normal.jpg,1878568396939300864,1945898205780017550,0,2025-07-17 17:27:39+00:00,5,0,idk if these GLP-1 patches are actually working or just tricking my brain but i haven’t had any cravings for three days and the number is going down steadily https://t.co/gVMoSLzC1C,0,0,['https://x.com/densuii_/status/1945898205780017550/photo/1'],everyone,idk if these GLP-1 patches are actually working or just tricking my brain but i havent had any cravings for three days and the number is going down steadily,en,55,[],,[],True,False,False,False,True,False,False,False,False,False,sasha ୧ ‧₊˚ 🖤 ⋅ || edtwt,False,[],[],False,densuii_,https://pbs.twimg.com/profile_images/1945499437356199936/tgXztJAG_normal.jpg,1878568396939300864,1945898205780017550,0,2025-07-17 17:27:39+00:00,5,0,idk if these GLP-1 patches are actually working or just tricking my brain but i haven’t had any cravings for three days and the number is going down steadily https://t.co/gVMoSLzC1C,0,0,['https://x.com/densuii_/status/1945898205780017550/photo/1'],everyone,idk if these GLP-1 patches are actually working or just tricking my brain but i havent had any cravings for three days and the number is going down steadily,en,55,[],,[]
Regenics,False,[],[],1945892997159420400,False,RegenicsHealth,https://pbs.twimg.com/profile_images/1942287989977108480/Qi9tG-Y0_normal.png,1176995850867728384,1945892997159420400,0,2025-07-17 17:06:58+00:00,6,0,"They say “just try harder.”

But if your estrogen is off, your insulin spikes, and your hunger hormones don’t shut off!

It’s not willpower... It’s imbalance.

Fix the root, not just the plate.

#GLP1  #WomensHealth  #weightloss",0,0,[],everyone,They say just try harder. But if your estrogen is off your insulin spikes and your hunger hormones dont shut off! Its not willpower. Its imbalance. Fix the root not just the plate.,en,4,"['GLP1', 'WomensHealth', 'weightloss']",,"['Sports & Fitness Business', 'Menopause', 'Fitness']",False,False,False,False,False,False,False,False,False,False,Regenics,False,[],[],False,RegenicsHealth,https://pbs.twimg.com/profile_images/1942287989977108480/Qi9tG-Y0_normal.png,1176995850867728384,1945892997159420400,0,2025-07-17 17:06:58+00:00,6,0,"They say “just try harder.”

But if your estrogen is off, your insulin spikes, and your hunger hormones don’t shut off!

It’s not willpower... It’s imbalance.

Fix the root, not just the plate.

#GLP1  #WomensHealth  #weightloss",0,0,[],everyone,They say just try harder. But if your estrogen is off your insulin spikes and your hunger hormones dont shut off! Its not willpower. Its imbalance. Fix the root not just the plate.,en,4,"['GLP1', 'WomensHealth', 'weightloss']",,"['Sports & Fitness Business', 'Menopause', 'Fitness']"
Dr Ashutosh Mishra MD,False,[],[],1945883262812819599,False,Ashutos15050433,https://pbs.twimg.com/profile_images/1285599757553917952/RdsxF2OB_normal.jpg,949531266906492928,1945883262812819599,0,2025-07-17 16:28:17+00:00,7,0,"GLP-1 meds = less hunger, more fullness, steady loss 🍽️
Protein is key on GLP-1—protect your muscles! 
Hydrate: 2–3L water daily helps with side effects 
Pick slow carbs &amp; healthy fats for energy 
Strength train for muscle, lose the fat Avoid fried foods to cut nausea 
Vitamin ?",0,0,[],everyone,GLP-1 meds = less hunger more fullness steady loss Protein is key on GLP-1—protect your muscles! Hydrate  2–3L water daily helps with side effects Pick slow carbs & healthy fats for energy Strength train for muscle lose the fat Avoid fried foods to cut nausea Vitamin ?,en,1186,[],,[],True,False,False,False,True,False,False,False,False,False,Dr Ashutosh Mishra MD,False,[],[],False,Ashutos15050433,https://pbs.twimg.com/profile_images/1285599757553917952/RdsxF2OB_normal.jpg,949531266906492928,1945883262812819599,0,2025-07-17 16:28:17+00:00,7,0,"GLP-1 meds = less hunger, more fullness, steady loss 🍽️
Protein is key on GLP-1—protect your muscles! 
Hydrate: 2–3L water daily helps with side effects 
Pick slow carbs &amp; healthy fats for energy 
Strength train for muscle, lose the fat Avoid fried foods to cut nausea 
Vitamin ?",0,0,[],everyone,GLP-1 meds = less hunger more fullness steady loss Protein is key on GLP-1—protect your muscles! Hydrate  2–3L water daily helps with side effects Pick slow carbs & healthy fats for energy Strength train for muscle lose the fat Avoid fried foods to cut nausea Vitamin ?,en,1186,[],,[]
Julie Beauty Clinic,False,[],[],1945868402473541981,False,JulieBeautySpa,https://pbs.twimg.com/profile_images/1943325231759720448/W-410DBU_normal.jpg,1566873901942054928,1945868402473541981,0,2025-07-17 15:29:14+00:00,8,0,"OZEMPIC is HERE!
Say hello to your new weight loss bestie! 💃💉
Ozempic isn’t just a name, it’s a GAME CHANGER for shedding stubborn fat and managing cravings like a pro. 
Ready to snatch that waistline? 
📍Available now at Julie Beauty Clinic
DM to book your consultation! 💌 https://t.co/U8J79CeLHh",0,0,['https://x.com/JulieBeautySpa/status/1945868402473541981/photo/1'],mentionedUsers,OZEMPIC is HERE! Say hello to your new weight loss bestie! Ozempic isnt just a name its a GAME CHANGER for shedding stubborn fat and managing cravings like a pro. Ready to snatch that waistline? Available now at Julie Beauty Clinic DM to book your consultation!,en,19,[],,[],True,False,False,False,False,False,False,False,False,False,Julie Beauty Clinic,False,[],[],False,JulieBeautySpa,https://pbs.twimg.com/profile_images/1943325231759720448/W-410DBU_normal.jpg,1566873901942054928,1945868402473541981,0,2025-07-17 15:29:14+00:00,8,0,"OZEMPIC is HERE!
Say hello to your new weight loss bestie! 💃💉
Ozempic isn’t just a name, it’s a GAME CHANGER for shedding stubborn fat and managing cravings like a pro. 
Ready to snatch that waistline? 
📍Available now at Julie Beauty Clinic
DM to book your consultation! 💌 https://t.co/U8J79CeLHh",0,0,['https://x.com/JulieBeautySpa/status/1945868402473541981/photo/1'],mentionedUsers,OZEMPIC is HERE! Say hello to your new weight loss bestie! Ozempic isnt just a name its a GAME CHANGER for shedding stubborn fat and managing cravings like a pro. Ready to snatch that waistline? Available now at Julie Beauty Clinic DM to book your consultation!,en,19,[],,[]
George,False,[],[],1945861269984059660,False,StoicRacingClub,https://pbs.twimg.com/profile_images/1937830996142968832/W7RdBpX8_normal.jpg,230545728,1945861269984059660,0,2025-07-17 15:00:53+00:00,9,3,Ozempic/Monjaro weight loss is cheating. You don't have to stop eating junk food nor go to the gym 500 times a week. Just eat less.,1,0,[],everyone,Ozempic/Monjaro weight loss is cheating. You dont have to stop eating junk food nor go to the gym 500 times a week. Just eat less.,en,846,[],,"['Food & Beverage Business', 'Food', 'Food experience', 'Exercises']",False,False,False,False,False,False,False,False,False,False,George,False,[],[],False,StoicRacingClub,https://pbs.twimg.com/profile_images/1937830996142968832/W7RdBpX8_normal.jpg,230545728,1945861269984059660,0,2025-07-17 15:00:53+00:00,9,3,Ozempic/Monjaro weight loss is cheating. You don't have to stop eating junk food nor go to the gym 500 times a week. Just eat less.,1,0,[],everyone,Ozempic/Monjaro weight loss is cheating. You dont have to stop eating junk food nor go to the gym 500 times a week. Just eat less.,en,846,[],,"['Food & Beverage Business', 'Food', 'Food experience', 'Exercises']"
Patrick McIlheran,False,[],[],1945815039601946947,False,PaddyMacMke,https://pbs.twimg.com/profile_images/1665733655271022593/PkXaTT0v_normal.jpg,337937687,1945815039601946947,0,2025-07-17 11:57:11+00:00,10,0,"“No one’s banning cola. Pay cash if you crave Dr Pepper; just don’t ask taxpayers to pay for your candy bar now and your Ozempic later.”

https://t.co/P5jQfwv7BS",1,0,['https://www.nationalreview.com/2025/07/put-food-stamps-on-a-diet/'],everyone,No ones banning cola. Pay cash if you crave Dr Pepper. just dont ask taxpayers to pay for your candy bar now and your Ozempic later.,en,2513,[],,"['CPG', 'Beverage - CPG', 'Food & Beverage Business', 'Dr Pepper', 'Drinks', 'Generic Drinks', 'Soda', 'Dr Pepper']",False,False,False,True,False,False,False,False,False,True,Patrick McIlheran,False,[],[],False,PaddyMacMke,https://pbs.twimg.com/profile_images/1665733655271022593/PkXaTT0v_normal.jpg,337937687,1945815039601946947,0,2025-07-17 11:57:11+00:00,10,0,"“No one’s banning cola. Pay cash if you crave Dr Pepper; just don’t ask taxpayers to pay for your candy bar now and your Ozempic later.”

https://t.co/P5jQfwv7BS",1,0,['https://www.nationalreview.com/2025/07/put-food-stamps-on-a-diet/'],everyone,No ones banning cola. Pay cash if you crave Dr Pepper. just dont ask taxpayers to pay for your candy bar now and your Ozempic later.,en,2513,[],,"['CPG', 'Beverage - CPG', 'Food & Beverage Business', 'Dr Pepper', 'Drinks', 'Generic Drinks', 'Soda', 'Dr Pepper']"
