id,author_id_x,created_at_x,text_x,lang_x,source_x,retweet_count_x,reply_count_x,like_count_x,quote_count_x,hashtags_x,mentions_x,urls_x,possibly_sensitive_x,conversation_id_x,reply_settings_x,context_entities_x,referenced_tweets_x,author_username_x,author_name_x,author_verified_x,author_followers_x,author_profile_image_x,text_clean_x,tmpid_x,Effectiveness_of_GLP1_Agonists,Personal_Experiences_and_Side_Effects,Perceptions_of_Weight_Loss,Food_Industry_Perceptions,Addiction_and_Cravings,Weight_Loss_Journey,Marketing_and_Product_Ideas,Mood_and_Energy,Scientific_Information,Societal_Issues,author_id_y,created_at_y,text_y,lang_y,source_y,retweet_count_y,reply_count_y,like_count_y,quote_count_y,hashtags_y,mentions_y,urls_y,possibly_sensitive_y,conversation_id_y,reply_settings_y,context_entities_y,referenced_tweets_y,author_username_y,author_name_y,author_verified_y,author_followers_y,author_profile_image_y,text_clean_y,tmpid_y
1945931053438238835,1215311525495349248,2025-07-17 19:38:11+00:00,Managing cravings on Wegovy: Practical tips for UK users  https://t.co/pEJTjeLDwg #news #london #londonnews,en,,0,0,0,0,"['news', 'london', 'londonnews']",[],['https://buff.ly/uiea29J'],False,1945931053438238835,everyone,"['UK national news', 'News', 'UK national news', 'London']",[],LDNdailynews,londondaily.news,False,947,https://pbs.twimg.com/profile_images/1461692936257687557/VVQF2_fx_normal.jpg,Managing cravings on Wegovy  Practical tips for UK users,1,True,False,False,False,True,False,False,False,False,False,1215311525495349248,2025-07-17 19:38:11+00:00,Managing cravings on Wegovy: Practical tips for UK users  https://t.co/pEJTjeLDwg #news #london #londonnews,en,,0,0,0,0,"['news', 'london', 'londonnews']",[],['https://buff.ly/uiea29J'],False,1945931053438238835,everyone,"['UK national news', 'News', 'UK national news', 'London']",[],LDNdailynews,londondaily.news,False,947,https://pbs.twimg.com/profile_images/1461692936257687557/VVQF2_fx_normal.jpg,Managing cravings on Wegovy  Practical tips for UK users,1
1945922327721689501,1193736207051694082,2025-07-17 19:03:31+00:00,Selena Gomez popping Ozempic like candy to be skinny for her wedding will always be funny. This btch hates being fat almost as much as her fans do. LMAO https://t.co/lXDheEZYtI,en,,0,0,0,0,[],[],['https://twitter.com/PopCrave/status/1944827586443407697'],False,1945922327721689501,everyone,"['Selena Gomez', 'Entertainment & Leisure Business', 'Selena Gomez', 'Pop', 'Selena Gomez', 'Society', 'Weddings', 'Selena Gomez', 'Pop', 'Music', 'Weddings', 'Celebrities', 'Family']",[<ReferencedTweet id=1944827586443407697 type=quoted>],hyitsrosie,ro,False,146,https://pbs.twimg.com/profile_images/1725981629858951168/GmtHayaE_normal.jpg,Selena Gomez popping Ozempic like candy to be skinny for her wedding will always be funny. This btch hates being fat almost as much as her fans do. LMAO,2,False,False,False,False,False,False,False,False,False,False,1193736207051694082,2025-07-17 19:03:31+00:00,Selena Gomez popping Ozempic like candy to be skinny for her wedding will always be funny. This btch hates being fat almost as much as her fans do. LMAO https://t.co/lXDheEZYtI,en,,0,0,0,0,[],[],['https://twitter.com/PopCrave/status/1944827586443407697'],False,1945922327721689501,everyone,"['Selena Gomez', 'Entertainment & Leisure Business', 'Selena Gomez', 'Pop', 'Selena Gomez', 'Society', 'Weddings', 'Selena Gomez', 'Pop', 'Music', 'Weddings', 'Celebrities', 'Family']",[<ReferencedTweet id=1944827586443407697 type=quoted>],hyitsrosie,ro,False,146,https://pbs.twimg.com/profile_images/1725981629858951168/GmtHayaE_normal.jpg,Selena Gomez popping Ozempic like candy to be skinny for her wedding will always be funny. This btch hates being fat almost as much as her fans do. LMAO,2
1945910995009814556,702092653,2025-07-17 18:18:29+00:00,Mounjaro is in full effect had my dinner a low in fat microwave meal for one and I'm stuffed I feel like Mr Creosote! Going to have to go for half the meal next time. I didn't even feel that hungry kind of forced it down myself for energy not complaining mind #weightossinjection,en,,0,0,0,0,['weightossinjection'],[],[],False,1945910995009814556,everyone,"['Food & Beverage Business', 'Food', 'Meals', 'Food experience']",[],newt_kiters,Newt,False,979,https://pbs.twimg.com/profile_images/1916530560811311104/Tc3C1UZj_normal.jpg,Mounjaro is in full effect had my dinner a low in fat microwave meal for one and Im stuffed I feel like Mr Creosote! Going to have to go for half the meal next time. I didnt even feel that hungry kind of forced it down myself for energy not complaining mind,3,True,False,False,False,False,False,False,False,False,False,702092653,2025-07-17 18:18:29+00:00,Mounjaro is in full effect had my dinner a low in fat microwave meal for one and I'm stuffed I feel like Mr Creosote! Going to have to go for half the meal next time. I didn't even feel that hungry kind of forced it down myself for energy not complaining mind #weightossinjection,en,,0,0,0,0,['weightossinjection'],[],[],False,1945910995009814556,everyone,"['Food & Beverage Business', 'Food', 'Meals', 'Food experience']",[],newt_kiters,Newt,False,979,https://pbs.twimg.com/profile_images/1916530560811311104/Tc3C1UZj_normal.jpg,Mounjaro is in full effect had my dinner a low in fat microwave meal for one and Im stuffed I feel like Mr Creosote! Going to have to go for half the meal next time. I didnt even feel that hungry kind of forced it down myself for energy not complaining mind,3
1945906521914724654,1828200738863919104,2025-07-17 18:00:42+00:00,"GLP-1 Supplement for Women and Men | Hunger &amp; Metabolism Support - Expert Formulated to Support GLP1 Naturally | Probiotic and Prebiotic (60 Capsules)

$29.99

https://t.co/A4454Jzv2I",en,,0,0,0,0,[],[],['https://amzn.to/4lUcCpK'],False,1945906521914724654,everyone,[],[],luxuryamznfinds,luxury on Amazon,False,2,https://pbs.twimg.com/profile_images/1836371332369432576/3GYsVG31_normal.jpg,GLP-1 Supplement for Women and Men | Hunger & Metabolism Support - Expert Formulated to Support GLP1 Naturally | Probiotic and Prebiotic (60 Capsules) $29.99,4,False,False,False,False,False,False,False,False,False,False,1828200738863919104,2025-07-17 18:00:42+00:00,"GLP-1 Supplement for Women and Men | Hunger &amp; Metabolism Support - Expert Formulated to Support GLP1 Naturally | Probiotic and Prebiotic (60 Capsules)

$29.99

https://t.co/A4454Jzv2I",en,,0,0,0,0,[],[],['https://amzn.to/4lUcCpK'],False,1945906521914724654,everyone,[],[],luxuryamznfinds,luxury on Amazon,False,2,https://pbs.twimg.com/profile_images/1836371332369432576/3GYsVG31_normal.jpg,GLP-1 Supplement for Women and Men | Hunger & Metabolism Support - Expert Formulated to Support GLP1 Naturally | Probiotic and Prebiotic (60 Capsules) $29.99,4
1945898205780017550,1878568396939300864,2025-07-17 17:27:39+00:00,idk if these GLP-1 patches are actually working or just tricking my brain but i haven’t had any cravings for three days and the number is going down steadily https://t.co/gVMoSLzC1C,en,,0,0,0,0,[],[],['https://x.com/densuii_/status/1945898205780017550/photo/1'],False,1945898205780017550,everyone,[],[],densuii_,sasha ୧ ‧₊˚ 🖤 ⋅ || edtwt,False,55,https://pbs.twimg.com/profile_images/1945499437356199936/tgXztJAG_normal.jpg,idk if these GLP-1 patches are actually working or just tricking my brain but i havent had any cravings for three days and the number is going down steadily,5,True,False,False,False,True,False,False,False,False,False,1878568396939300864,2025-07-17 17:27:39+00:00,idk if these GLP-1 patches are actually working or just tricking my brain but i haven’t had any cravings for three days and the number is going down steadily https://t.co/gVMoSLzC1C,en,,0,0,0,0,[],[],['https://x.com/densuii_/status/1945898205780017550/photo/1'],False,1945898205780017550,everyone,[],[],densuii_,sasha ୧ ‧₊˚ 🖤 ⋅ || edtwt,False,55,https://pbs.twimg.com/profile_images/1945499437356199936/tgXztJAG_normal.jpg,idk if these GLP-1 patches are actually working or just tricking my brain but i havent had any cravings for three days and the number is going down steadily,5
1945892997159420400,1176995850867728384,2025-07-17 17:06:58+00:00,"They say “just try harder.”

But if your estrogen is off, your insulin spikes, and your hunger hormones don’t shut off!

It’s not willpower... It’s imbalance.

Fix the root, not just the plate.

#GLP1  #WomensHealth  #weightloss",en,,0,0,0,0,"['GLP1', 'WomensHealth', 'weightloss']",[],[],False,1945892997159420400,everyone,"['Sports & Fitness Business', 'Menopause', 'Fitness']",[],RegenicsHealth,Regenics,False,4,https://pbs.twimg.com/profile_images/1942287989977108480/Qi9tG-Y0_normal.png,They say just try harder. But if your estrogen is off your insulin spikes and your hunger hormones dont shut off! Its not willpower. Its imbalance. Fix the root not just the plate.,6,False,False,False,False,False,False,False,False,False,False,1176995850867728384,2025-07-17 17:06:58+00:00,"They say “just try harder.”

But if your estrogen is off, your insulin spikes, and your hunger hormones don’t shut off!

It’s not willpower... It’s imbalance.

Fix the root, not just the plate.

#GLP1  #WomensHealth  #weightloss",en,,0,0,0,0,"['GLP1', 'WomensHealth', 'weightloss']",[],[],False,1945892997159420400,everyone,"['Sports & Fitness Business', 'Menopause', 'Fitness']",[],RegenicsHealth,Regenics,False,4,https://pbs.twimg.com/profile_images/1942287989977108480/Qi9tG-Y0_normal.png,They say just try harder. But if your estrogen is off your insulin spikes and your hunger hormones dont shut off! Its not willpower. Its imbalance. Fix the root not just the plate.,6
1945883262812819599,949531266906492928,2025-07-17 16:28:17+00:00,"GLP-1 meds = less hunger, more fullness, steady loss 🍽️
Protein is key on GLP-1—protect your muscles! 
Hydrate: 2–3L water daily helps with side effects 
Pick slow carbs &amp; healthy fats for energy 
Strength train for muscle, lose the fat Avoid fried foods to cut nausea 
Vitamin ?",en,,0,0,0,0,[],[],[],False,1945883262812819599,everyone,[],[],Ashutos15050433,Dr Ashutosh Mishra MD,False,1186,https://pbs.twimg.com/profile_images/1285599757553917952/RdsxF2OB_normal.jpg,GLP-1 meds = less hunger more fullness steady loss Protein is key on GLP-1—protect your muscles! Hydrate  2–3L water daily helps with side effects Pick slow carbs & healthy fats for energy Strength train for muscle lose the fat Avoid fried foods to cut nausea Vitamin ?,7,True,False,False,False,True,False,False,True,False,False,949531266906492928,2025-07-17 16:28:17+00:00,"GLP-1 meds = less hunger, more fullness, steady loss 🍽️
Protein is key on GLP-1—protect your muscles! 
Hydrate: 2–3L water daily helps with side effects 
Pick slow carbs &amp; healthy fats for energy 
Strength train for muscle, lose the fat Avoid fried foods to cut nausea 
Vitamin ?",en,,0,0,0,0,[],[],[],False,1945883262812819599,everyone,[],[],Ashutos15050433,Dr Ashutosh Mishra MD,False,1186,https://pbs.twimg.com/profile_images/1285599757553917952/RdsxF2OB_normal.jpg,GLP-1 meds = less hunger more fullness steady loss Protein is key on GLP-1—protect your muscles! Hydrate  2–3L water daily helps with side effects Pick slow carbs & healthy fats for energy Strength train for muscle lose the fat Avoid fried foods to cut nausea Vitamin ?,7
1945868402473541981,1566873901942054928,2025-07-17 15:29:14+00:00,"OZEMPIC is HERE!
Say hello to your new weight loss bestie! 💃💉
Ozempic isn’t just a name, it’s a GAME CHANGER for shedding stubborn fat and managing cravings like a pro. 
Ready to snatch that waistline? 
📍Available now at Julie Beauty Clinic
DM to book your consultation! 💌 https://t.co/U8J79CeLHh",en,,0,0,0,0,[],[],['https://x.com/JulieBeautySpa/status/1945868402473541981/photo/1'],False,1945868402473541981,mentionedUsers,[],[],JulieBeautySpa,Julie Beauty Clinic,False,19,https://pbs.twimg.com/profile_images/1943325231759720448/W-410DBU_normal.jpg,OZEMPIC is HERE! Say hello to your new weight loss bestie! Ozempic isnt just a name its a GAME CHANGER for shedding stubborn fat and managing cravings like a pro. Ready to snatch that waistline? Available now at Julie Beauty Clinic DM to book your consultation!,8,True,False,False,False,False,False,False,False,False,False,1566873901942054928,2025-07-17 15:29:14+00:00,"OZEMPIC is HERE!
Say hello to your new weight loss bestie! 💃💉
Ozempic isn’t just a name, it’s a GAME CHANGER for shedding stubborn fat and managing cravings like a pro. 
Ready to snatch that waistline? 
📍Available now at Julie Beauty Clinic
DM to book your consultation! 💌 https://t.co/U8J79CeLHh",en,,0,0,0,0,[],[],['https://x.com/JulieBeautySpa/status/1945868402473541981/photo/1'],False,1945868402473541981,mentionedUsers,[],[],JulieBeautySpa,Julie Beauty Clinic,False,19,https://pbs.twimg.com/profile_images/1943325231759720448/W-410DBU_normal.jpg,OZEMPIC is HERE! Say hello to your new weight loss bestie! Ozempic isnt just a name its a GAME CHANGER for shedding stubborn fat and managing cravings like a pro. Ready to snatch that waistline? Available now at Julie Beauty Clinic DM to book your consultation!,8
1945861269984059660,230545728,2025-07-17 15:00:53+00:00,Ozempic/Monjaro weight loss is cheating. You don't have to stop eating junk food nor go to the gym 500 times a week. Just eat less.,en,,0,3,1,0,[],[],[],False,1945861269984059660,everyone,"['Food & Beverage Business', 'Food', 'Food experience', 'Exercises']",[],StoicRacingClub,George,False,846,https://pbs.twimg.com/profile_images/1937830996142968832/W7RdBpX8_normal.jpg,Ozempic/Monjaro weight loss is cheating. You dont have to stop eating junk food nor go to the gym 500 times a week. Just eat less.,9,False,False,False,False,False,False,False,False,False,True,230545728,2025-07-17 15:00:53+00:00,Ozempic/Monjaro weight loss is cheating. You don't have to stop eating junk food nor go to the gym 500 times a week. Just eat less.,en,,0,3,1,0,[],[],[],False,1945861269984059660,everyone,"['Food & Beverage Business', 'Food', 'Food experience', 'Exercises']",[],StoicRacingClub,George,False,846,https://pbs.twimg.com/profile_images/1937830996142968832/W7RdBpX8_normal.jpg,Ozempic/Monjaro weight loss is cheating. You dont have to stop eating junk food nor go to the gym 500 times a week. Just eat less.,9
1945815039601946947,337937687,2025-07-17 11:57:11+00:00,"“No one’s banning cola. Pay cash if you crave Dr Pepper; just don’t ask taxpayers to pay for your candy bar now and your Ozempic later.”

https://t.co/P5jQfwv7BS",en,,0,0,1,0,[],[],['https://www.nationalreview.com/2025/07/put-food-stamps-on-a-diet/'],False,1945815039601946947,everyone,"['CPG', 'Beverage - CPG', 'Food & Beverage Business', 'Dr Pepper', 'Drinks', 'Generic Drinks', 'Soda', 'Dr Pepper']",[],PaddyMacMke,Patrick McIlheran,False,2513,https://pbs.twimg.com/profile_images/1665733655271022593/PkXaTT0v_normal.jpg,No ones banning cola. Pay cash if you crave Dr Pepper. just dont ask taxpayers to pay for your candy bar now and your Ozempic later.,10,False,False,False,True,False,False,False,False,False,False,337937687,2025-07-17 11:57:11+00:00,"“No one’s banning cola. Pay cash if you crave Dr Pepper; just don’t ask taxpayers to pay for your candy bar now and your Ozempic later.”

https://t.co/P5jQfwv7BS",en,,0,0,1,0,[],[],['https://www.nationalreview.com/2025/07/put-food-stamps-on-a-diet/'],False,1945815039601946947,everyone,"['CPG', 'Beverage - CPG', 'Food & Beverage Business', 'Dr Pepper', 'Drinks', 'Generic Drinks', 'Soda', 'Dr Pepper']",[],PaddyMacMke,Patrick McIlheran,False,2513,https://pbs.twimg.com/profile_images/1665733655271022593/PkXaTT0v_normal.jpg,No ones banning cola. Pay cash if you crave Dr Pepper. just dont ask taxpayers to pay for your candy bar now and your Ozempic later.,10
